c,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
Trọng Hiếu,,Kiểm tra hồ sơ phát sinh do thay đổi thiết kế và thực tế công trình,,2 ngày,"06/05/2026,
13/05/2026","06/05/2026,
13/05/2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,"Ngày 13/05/2026 kiểm tra bổ sung do phát sinh thêm CTCT sô 5,6 và BBXL ngày 13/05/2026",
Trọng Hiếu,,Làm phụ lục phát sinh số 02 + trình ký tạm ứng gói thầu kè,,1 ngày,19/05/2026,19/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,
H.Vân,,Kế hoạch thanh toán nhà thầu nhận ngày 8/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke hoach thanh toan ke bien so 1 va 2.pdf,
,,Bảng tiến độ thi công nhà thầu Kiến Vàng nhận 09/04/2026 chuyển cho Mr. Hồng,Yeu cầu nhà thầu gửi lại bản tiến độ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hồ sơ pháp lý nhà thầu nhận ngày 11/04/2026 đã chuyển Mr.Hồng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quyết định thành lập BCH công trường ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD THANH LAP BCH CONG TRINH KIEN VANG.pdf,
,,Hợp đồng thi công xây dựng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HỢP ĐỒNG 062026-SV-KV.pdf,
,,Hợp đồng thi công số 06/2026/HĐXD/SV-KV ký ngày 1/4/2026.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HỢP ĐỒNG 062026-SV-KV.pdf,
,,Phụ lục hợp đồng 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLHD 02 KV.pdf,
,,Công Văn gia hạn tiến độ thi công,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cong van gia han tien do Kien Vang.pdf,
,,"Nhà thầu Kiến Vàng  gởi biện pháp, thuyết minh thi công, shop drawing , hồ sơ pháp lý và tiến độ thi công
 chuyển cho Mr. Hồng ngày 28/04/2026",14g ngày 6/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Biện pháp thi công đã duyệt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Lam,,"Biên bản bàn giao mốc toạ độ , cao độ, vị trí các mốc khống chế trắc địa mà mb thi công xây dựng",,,15/04/2026,15/4/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bien ban ban giao toa do vị tri cac moc, mb thi cong kien vang.pdf",
,,Bảng cao độ hiện trạng kè số 2,,,18/04/2026,18/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cao do hien trang ke so 2.pdf,
,,Bảng cao độ hiện trạng nền đá kè số 1 đoạn 2,,,18/04/2026,18/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cao do hien trang nen da ke so 1 doan 2.pdf,
,,Bảng cao độ hiện trạng nền đá kè số 1 đoạn 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cao do hien trang nen da ke so 1 doan 3.pdf,
,,BBNT thu đào móng để thả rọ đá phần dưới đế móng từ K2.11÷K2.14,,1 ngày,21/04/2026,21/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT làm và thả rọ đá phần dưới đế móng đoạn K2.11÷K2.14,,1 ngày,27/04/2026,27/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT đào móng để thả rọ đá phần  dưới đế móng đoạn k3.1÷K3.8,,1 ngày,28/04/2026,28/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT đào móng để thi công rọ đá ngoài đế móng đoạn K2.4÷K2.14,,1 ngày,05/05/2026,05/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT vật liệu đầu vào thép Hòa Phát,,1 ngày,07/05/2026,07/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT đào móng để đổ betong lót đoạn K2.1 - K2.11,,1 ngày,08/05/2026,08/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT thả rọ đá đoạn K3.1 - K3.8,,1 ngày,08/05/2026,08/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT đào móng ngoài đế móng đoạn K3.1 - K3.8,,1 ngày,10/05/2026,10/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT ván khuôn + cốt thép đế móng đoạn K2.11÷K2.14 kè số 1 đoạn 2,,1 ngày,14/05/2026,14/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT đục và đào móng đá tạo dốc từ K3.8÷K3.13 kè số 1 đoạn 3,,1 ngày,15/05/2026,15/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BBNT đào móng để thả rọ đá ngoài đế móng đoạn K3.8÷K3.11+2m,,1 ngày,15/05/2026,15/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BBNT GCLD ván khuôn, cốt thép móng đoạn K3.1÷K.8 kè số 1 đoạn 3",,1 ngày,18/05/2026,18/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Long - Toan,II,TRIỂN KHAI THI CÔNG (HM KÈ BIỂN 1 ĐOẠN 2+3),,131 ngày,15/04/2026,23/8/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nhà thầu Kiến Vàng chưa gửi lại bản tién độ kè số 1 đoạn 2, đoạn 3 và kè số 2 (Zich zach)",
"longsaovietpy@gmail.com
trongtoanxd2012@gmail.com",1,"Nhận bàn giao mặt bằng, tim mốc",,1 ngày,15/04/2026,15/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,
,2,Đào đất móng kè bằng máy đào ,,25 ngày,15/04/2026,09/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,,
,2.1,Nghiệm thu công tác đào móng kè số 1 đoạn 2 cọc K2.11 đến K2.14,,1 ngày,24/04/2026,24/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.2,Nghiệm thu công tác đào móng kè số 1 đoạn 3 cọc K3.1 đến K3.8,,1 ngày,02/05/2026,02/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.3,Nghiệm thu công tác đào móng code 0.5m kè số 1 đoạn 2 cọc K2.2 đến K2.11,,1 ngày,07/05/2026,07/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.4,Nghiệm thu công tác đào móng để thả rọ đá ngoài đế móng kè số 1 đoạn 2 code +0.6m từ K2.1+4.03m đến K2.11,,1 ngày,08/05/2026,08/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5,"Nghiệm thu công tác đào móng ngoài đế móng để thả rọ đá đoạn K3.1 đến K3.8, kè số 1 đoạn 3.",,1 ngày,10/05/2026,10/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.6,Nghiệm thu công tác đào móng để thả rọ đá ngoài đế móng kè số 1 đoạn 3 code +0.6m từ K3.1 đến K3.8,,1 ngày,10/05/2026,10/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.7,Nghiệm thu công tác đào móng để thả rọ đá ngoài đế móng kè số 1 đoạn 3 code +0.6m từ K3.8 đến K3.11 + 2m,,1 ngày,15/05/2026,15/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.8,Nghiệm thu công tác đào đục đá  và đào móng đá kè số 1 đoạn 3 từ K3.8 đến K3.13,,1 ngày,15/05/2026,15/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.9,"Nghiệm thu công tác nạo vét và về sinh nền đá, khe đá kè số 1 đoạn 3 từ K3.13 đến K3.17",,1 ngày,27/05/2026,27/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Đắp đất cát tái lập móng kè, đầm chặt K=>0,90 (Đất cát tận dụng tại dự án)",,20 ngày,04/08/2026,23/08/2026,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,
,3.1,"Nghiệm thu công tác thi công đắp đất tái lập móng kè, đầm chặt K=>0,9 (Đất cát tận dụng tại dự án) 
đến Cos 1.2m từ K3.1 đén K3.13 ( Hạng mục: Kè biển số 1 đoạn 2)",,1 ngáy,21/06/2026,21/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.2,"Nghiệm thu công tác thi công đắp đất tái lập móng kè, đầm chặt K=> 90 (Đất cát tận dụng tại dự án) đến Cos1.2m.
 đoạn K2.2' -:- K2.14 (Hạng mục: Kè Biển số 1 đoạn 2)",,1 ngày,23/06/2026,23/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.3,"Nghiệm thu công tác thi công đắp đất tái lập móng kè, đầm chặt K=> 90 (Đất cát tận dụng tại dự án) đến Cos1.7m.
 đoạn K2.2' -:- K2.14 (Hạng mục: Kè Biển số 1 đoạn 2)",,1 ngày,25/06/2026,25/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.4,"Nghiệm thu công tác thi công đắp đất tái lập móng kè, đầm chặt K=>0,9 (Đất cát tận dụng tại dự án) 
đến Cos 2.2m từ K3.1 đén K3.15 ( Hạng mục: Kè biển số 1 đoạn 3)",,1 ngày,27/06/2026,27/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.5,"Nghiệm thu công tác thi công đắp đất tái lập móng kè, đầm chặt K => 90 (đất cát tận dụng tại dự án) đến Cos1.7m đoạn 
K3.1 -:- K3.15 (Hạng mục: Kè Biển số 1 đoạn 3)",,1 ngày,27/06/2026,27/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Vận chuyển đất cát bằng ô tô tự đổ, cự ly vận chuyển <= 1km",,25 ngày,15/04/2026,09/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,
,5,Đổ bê tông lót mác 150,,5 ngày,10/05/2026,14/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.1,"Bê tông lót móng M150, kè số 1 đoạn 2 từ K2.11 đến K2.14",,1 ngày,09/05/2026,09/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.2,"Bê tông lót móng M150, kè số 1 đoạn 2 từ K2.2 đến K2.11",,1 ngày,17/05/2026,17/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.3,"Bê tông lót móng M150, kè số 1 đoạn 3 từ K3.1 đến K3.8",,1 ngày,02/05/2026,02/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.4,"Bê tông lót móng M150, kè số 1 đoạn 3 từ K3.8 đến K3.13",,1 ngày,24/05/2026,24/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.5,"Bê tông lót móng M150, kè số 1 đoạn 2 từ K2.2 đến K2.7",,1 ngày,27/05/2026,27/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.6,Nghiệm thu công tác đổ bê tông lót khe đá kè biển số 1 đoạn 3 từ K3.13-:-K3.17,,1 ngày,29/05/2026,29/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Đổ bê tông móng chân tường đá hộc mác 300 bền Sunfat,,7 ngày,25/05/2026,31/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.1,"Bê tông đế móng M300 bền Sunfat, kè số 1 đoạn 2 từ K2.11 đền K2.14",,1 ngày,22/05/2026,22/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.2,"Bê tông đế móng M300 bền Sunfat, kè số 1 đoạn 3 từ K3.1 đền K3.8",,1 ngày,26/05/2026,26/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.3,"Bê tông đế móng M300 bền Sunfat, kè số 1 đoạn 2 từ K2.6 đền K2.11",,1 ngày,28/05/2026,28/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.4,"Bê tông đế móng M300 bền Sunfat, kè số 1 đoạn 3 từ K3.8 đền K3.13",,1 ngày,29/05/2026,29/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Gia công lắp dựng cốt thép móng chân tường đá hộc,,10 ngày,20/05/2026,29/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.1,Nghiệm thu cốt thép + ván khuôn đế móng kè số 1 đoạn 3 từ  K2.11 đến K2.14.,,1 ngày,14/05/2026,14/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.2,Nghiệm thu cốt thép +  ván khuôn đế móng đoạn K3.1 đến K3.8 kè số 1 đoạn 3,,1 ngày,18/05/2026,18/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.3,Nghiệm thu cốt thép +  ván khuôn đế móng đoạn K2.1+4.03m  đến K2.6 kè số 1 đoạn 2,,1 ngày,19/05/2026,19/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.4,Nghiệm thu cốt thép +  ván khuôn đế móng đoạn K2.6 đến K2.11 kè số 1 đoạn 2,,1 ngày,21/05/2026,21/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.5,Nghiệm thu cốt thép +  ván khuôn đế móng đoạn K3.8 đến K3.13 kè số 1 đoạn 3,,1 ngày,22/05/2026,22/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"Gia công lắp dựng, tháo dở ván khuôn móng chân tường đá hộc",,10 ngày,15/05/2026,24/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Xây tường đá hộc vữa xi măng mác 100 (Đá chọn lọc),,10 ngày,01/06/2026,30/06/2026,3%,2%,3%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,,
,9.1,"Nghiệm thu công tác thi công xây tường đá hộc vữa xi măng M100( đá chọn lọc) từ đế móng lên 75cm 
đoạn K3.1 -:- K3.17 (Hạng mục: Kè biển số 1 đoạn 3)",,1 ngày,11/06/2026,11/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.2,"Nghiệm thu công tác thi công xây tường đá hộc vữa xi măng M100( đá chọn lọc) từ đế móng lên 75cm 
đoạn K2.4 -:- K2.14 (Hạng mục: Kè biển số 1 đoạn 2)",,1 ngày,11/06/2026,11/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.3,"Nghiệm thu công tác thi công xây tường đá hộc vữa xi măng M100( đá chọn lọc) từ đế móng lên 75cm 
đoạn K2.2' -:- K2.4 (Hạng mục: Kè biển số 1 đoạn 2)",,1 ngày,13/06/2026,13/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.4,"Nghiệm thu công tác thi công xây tường đá hộc vữa xi măng M100 (đá chọn lọc) từ đế móng lên 75cm 
đoạn K2.2 -:- K2.4 (Hạng mục: Kè Biển số 1 đoạn 2)",,1 ngày,13/06/2026,13/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.5,"Nghiệm thu công tác thi công xây tường đá hộc vữa xi măng M100 (đá chọn lọc) từ Cos1.95 -:- Cos2.8m 
đoạn K3.1 -:- K3.13 (Hạng mục: Kè Biển số 1 đoạn 3)",,1 ngày,21/06/2026,21/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.6,"Nghiệm thu công tác thi công xây tường đá hộc vữa xi măng M100 (đá chọn lọc) từ Cos1.95 -:- Cos2.8m 
đoạn K2.2' -:- K2.14 (Hạng mục: Kè Biển số 1 đoạn 2)",,1 ngày,23/06/2026,23/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.7,"Nghiệm thu công tác thi công xây tường đá hộc vữa xi măng M100 (đá chọn lọc) từ Cos2.8m -:- Cos3.25m 
đoạn D1 -:- K3.15 (Hạng mục: Kè Biển số 1 đoạn 3)",,1 ngày,23/06/2026,23/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.8,"Nghiệm thu công tác thi công xây tường đá hộc vữa xi măng M100 (đá chọn lọc) từ Cos1.95m -:- Cos 2.8m 
đoạn K3.13 -:- K3.17 (Hạng mục: Kè Biển số 1 đoạn 3)",,1 ngày,23/06/2026,23/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,Đổ bê tông giằng đỉnh tường đá hộc mác 300 bền Sunfat,,6 ngày,11/07/2026,16/07/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Gia công lắp dựng cốt thép giằng đỉnh tường đá hộc,,10 ngày,06/07/2026,15/07/2026,1%,3%,2%,3%,2%,5%,3%,2%,3%,5%,10%,5%,8%,,,,,,,,,,,,,,,,,,,52%,,
,12,"Gia công lắp dựng, tháo dở ván khuôn giằng đỉnh tường đá hộc",,10 ngày,01/07/2026,10/07/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,Thi công chèn khe lún bằng bao đay tẩm nhựa dày 10mm,,6 ngày,11/07/2026,16/07/2026,,"0,5%",1%,"0,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,0%",,
,14,Thi công tầng lọc bằng đá cấp phối 1x2cm,,10 ngày,11/07/2026,20/07/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,Lắp đặt ống thoát nước PVC D42,,10 ngày,11/07/2026,20/07/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,
,15.1,Nghiệm thu công tác lắp đặt ống thoát nước PVC D42 khoản cách L=500 từ K2.6 -:- K2.11 (Kè biển số 1 đoạn 2),,1 ngày,10/06/2026,10/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.2,Nghiệm thu công tác lắp đặt ống thoát nước PVC D42 khoản cách L=500 từ K3.8 -:- K3.17 (Kè biển số 1 đoạn 3),,1 ngày,10/06/2026,10/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
